"total_cost","Nclaims","age","gender","agelic","agecar","parking","tkm","nightkm","urbankm","speedkm","cost"
207.36,1,26.91033539,1,6.308008214,10.21492129,0,9839.198,1284.903,19.17504862,6.212437233,207.36
209.27,1,28.71457906,0,7.934291581,3.775496235,1,22213.225,2917.838,5.090733111,2.318816831,209.27
210.13,1,22.9486653,1,4.62696783,4.109514031,1,12157.654,810.029,32.01305943,4.790776247,210.13
215.92,1,30.65297741,1,11.94250513,7.110198494,1,16581.413,347.486,5.374186144,8.741215239,215.92
217.07,1,26.04243669,0,5.267624914,4.501026694,1,11516.869,173.89,21.64422466,1.989637982,217.07
223.56,1,27.23887748,1,8.607802875,20.46817248,1,1313.251,72.848,55.84705437,10.14520453,223.56
226.15,1,24.52019165,0,6.124572211,11.40041068,1,4556.379,280.075,33.43949219,6.099646232,226.15
227.56,1,27.1321013,1,6.88569473,13.90006845,1,3231.852,167.286,63.09363795,1.849280227,227.56
457.78,2,21.54140999,0,2.584531143,17.65092402,1,9306.58,1032.191,31.49740291,4.651590595,228.89
229.42,1,28.03832991,1,8.246406571,15.01437372,1,4652.582,450.054,48.1798064,3.718386909,229.42
230.24,1,25.56605065,1,7.173169062,7.279945243,1,6298.065,1293.492,27.8557938,6.246871063,230.24
237.4,1,26.9431896,1,7.471594798,5.615331964,1,5294.691,95.816,17.56869287,5.104811593,237.4
238.05,1,23.68514716,0,4.262833676,7.775496235,0,13662.189,1418.406,17.71841247,6.548138077,238.05
480.6,2,29.25119781,0,10.32717317,9.448323066,0,8402.523,282.921,21.83506073,2.432995423,240.3
241.86,1,25.90554415,0,7.835728953,7.942505133,1,8312.059,289.189,22.23120649,7.326993228,241.86
244.96,1,27.60027379,0,6.614647502,9.11156742,0,6285.765,1176.404,29.38391747,3.541255519,244.96
245,1,31.57015743,0,6.324435318,14.66392882,1,8918.475,1464.569,29.48473814,4.014105551,245
246.34,1,31.88227242,0,8.325804244,3.690622861,1,13133.636,775.302,14.31143668,2.255361729,246.34
250.3,1,27.37577002,1,7.624914442,7.362080767,0,5012.34,163.309,24.02345013,5.455396082,250.3
253.2,1,29.88911704,1,6.822724162,4.501026694,1,6485.961,605.811,33.48954766,1.689896069,253.2
255.12,1,28.07118412,0,4.45174538,6.110882957,1,9776.915,214.156,14.97956155,8.628243163,255.12
520.51,2,27.19780972,1,4.607802875,7.942505133,0,2691.268,232.047,26.30652168,10.80520409,260.255
260.8,1,30.5927447,0,11.57837098,7.775496235,1,4191.189,113.554,50.48708135,0.932408441,260.8
261.64,1,29.13620808,1,5.883641342,6.447638604,1,9916.195,926.903,25.59130796,3.993769788,261.64
264.93,1,23.04175222,0,3.649555099,15.52908966,1,8569.53,1262.235,27.69163536,11.52136698,264.93
268.36,1,26.08898015,1,3.216974675,15.01437372,1,2198.76,147.881,23.39177536,0.800905965,268.36
269.57,1,32.862423,1,14.68035592,15.61670089,1,2691.708,90.7,8.261966008,5.107983481,269.57
275.06,1,24.42162902,0,5.289527721,13.89459274,1,5715.187,373.714,11.92249702,5.371425292,275.06
277.88,1,31.78644764,1,13.70568104,17.06228611,0,2973.874,230.338,38.53771209,2.087411908,277.88
282.28,1,31.68240931,0,12.45722108,2.691307324,0,11065.304,1434.018,49.8434747,0.300389397,282.28
286.42,1,31.19507187,1,9.407255305,3.613963039,1,6253.801,263.937,35.65786631,5.739645377,286.42
287.68,1,25.64544832,0,5.292265572,14.0698152,1,3361.465,22.473,13.09598642,5.015551255,287.68
289.1,1,28.08213552,1,6.425735797,7.613963039,1,2478.863,233.527,44.75087974,5.44104293,289.1
291.21,1,27.41957563,0,5.026694045,18.39835729,1,3013.739,73.745,30.86136523,3.283927374,291.21
293.78,1,31.15674196,1,6.351813826,2.529774127,1,8848.181,36.434,20.44102624,13.77695596,293.78
297.82,1,25.11430527,1,5.938398357,4.446269678,1,8058.024,268.93,51.90256321,3.848933684,297.82
301.31,1,29.11156742,1,10.4312115,7.529089665,1,7645.969,82.847,39.35410934,3.197109483,301.31
302.41,1,26.95687885,1,4.643394935,3.775496235,1,8741.543,563.44,15.09910779,5.316990376,302.41
303.33,1,28.39151266,1,7.822039699,13.25119781,1,6608.753,473.103,37.01503143,1.054813215,303.33
305.7,1,26.32443532,1,7.991786448,10.00410678,1,6934.799,589.123,26.05955847,4.659010304,305.7
307.22,1,29.42915811,1,8.914442163,6.529774127,1,9015.076,2266.247,8.574791826,1.493731168,307.22
310.02,1,23.92060233,0,5.467488022,20.46817248,0,3588.722,307.728,28.71016479,0.853339991,310.02
317.9,1,30.41204654,0,5.826146475,9.667351129,0,2627.627,98.923,66.59933088,0.864848778,317.9
323.74,1,30.7761807,1,7.184120465,5.831622177,0,3721.332,612.278,9.567730049,1.052015784,323.74
650.31,2,22.94045175,0,4.813141684,6.691307324,0,5473.999,56.382,30.885793,3.523109887,325.155
657.7,2,32.14784394,1,11.91786448,8.692676249,0,10046.484,772.793,39.61447607,17.8844559,328.85
330.8,1,30.23134839,0,10.64202601,19.07460643,1,3073.994,117.037,67.30192056,2.976193187,330.8
339,1,29.07871321,1,10.48870637,8.490075291,1,7493.489,429.509,33.63784213,5.431515279,339
348.47,1,26.17111567,1,7.457905544,8.90349076,1,9651.875,238.25,12.27218546,0.438059962,348.47
355.69,1,26.96235455,1,4.41615332,14.06433949,1,6714.024,253.913,40.33117844,5.243487363,355.69
357.12,1,30.62286105,1,10.67214237,8.574948665,0,18653.258,1693.782,16.26160427,7.755830108,357.12
360.41,1,28.3340178,0,5.2183436,7.110198494,1,9124.454,729.053,25.66893318,3.009473224,360.41
361.98,1,22.73785079,1,4.484599589,9.861738535,1,7024.605,501.617,41.566266,6.207010928,361.98
365.36,1,22.11635866,0,2.74880219,4.446269678,1,2906.525,9.368,23.30958791,1.305923741,365.36
368.13,1,27.73990418,0,8.744695414,5.615331964,1,5267.739,8.188,23.43910737,3.452543871,368.13
369.46,1,29.40999316,0,10.88295688,2.110882957,1,16305.6,2098.341,7.614862379,5.515976106,369.46
369.61,1,30.29979466,0,10.2587269,10.00684463,0,8427.228,248.398,26.21542932,2.361986646,369.61
745.22,2,30.954141,1,7.838466804,10.0807666,0,9449.06,1348.004,24.18183396,10.40644255,372.61
374.37,1,26.32169747,0,8.095824778,4.446269678,1,4235.954,198.026,24.77300273,14.16800088,374.37
378.96,1,31.60848734,0,12.81040383,7.110198494,1,9219.315,1285.771,5.46003689,13.48716255,378.96
385.29,1,29.00205339,1,5.53045859,9.448323066,1,12504.957,1610.046,18.70703754,4.858569286,385.29
388.27,1,22.90212183,0,4.320328542,3.86036961,1,6945.333,145.167,5.512190704,20.24144847,388.27
391.65,1,27.31279945,1,8.432580424,11.40041068,1,13019.805,704.31,11.34420216,2.268444113,391.65
395.55,1,27.39493498,1,6.754277892,6.447638604,0,3809.505,691.931,32.49458919,1.873314249,395.55
397.79,1,30.72963723,1,5.733059548,9.029431896,1,11541.301,1300.73,11.59912561,8.373622696,397.79
399.43,1,23.73442847,0,5.442847365,10.63381246,1,7394.894,1565.857,38.81948815,3.044587252,399.43
400.07,1,26.91581109,0,8.678986995,5.691991786,1,9161.518,442.634,17.98329709,6.168628387,400.07
403.66,1,30.55989049,0,12.0164271,12.59411362,1,7560.296,34.872,17.09533595,2.667660102,403.66
410.43,1,32.54757016,0,12.32580424,12.72279261,1,7087.602,966.16,16.48460227,16.37301304,410.43
